Kernel,Hexagon resolution,Time resolution,R2-score,MSE,MAE,Test_mean,True_mean,Test_variance,True_variance
poly,H3-7,1,-6.513447422845931,27589.694721750835,162.50688929990244,167.40961773316613,10.489100284192434,242.59387454091737,3672.0420293166117
poly,H3-8,1,-2.3724225098272633,4239.160256468705,60.81653182679111,65.54254447359592,9.053392005867254,84.60952684121601,1257.0074609915457
linear,H3-6,1,-0.4419029295268453,22426.455038392567,86.67292354371737,83.02162737461309,21.158609839816933,5846.757528486324,15553.373655847774
linear,H3-7,1,-8.20899927280872,35499.983535187865,177.8360457781,182.8653455458546,10.866327450947024,3100.3736363616376,3854.923046851373
linear,H3-8,1,-2.840778300568364,5185.902869027339,58.367503353038906,63.34244061690454,9.292350568390171,1451.877087663947,1350.2218725459686
poly,H3-6,24,0.5780555588303165,1418193.1457261494,625.3219201104132,-128.63360808320795,310.2054565701559,3427125.375500448,3361089.7723755715
poly,H3-7,24,-0.0124806732541298,694712.4538566942,639.3094042589723,-501.9019194879378,117.24157095220453,157648.30366998192,686148.8542036825
poly,H3-8,24,0.1707387126101101,147683.16985271545,96.47111919671796,68.04061088200007,83.5364161849711,3911.768843696891,178090.03277790773
poly,H3-6,6,-0.0031240940114227,414059.45522133226,455.9559170829268,-347.0900457024191,93.01784605834884,91064.70818052956,412769.923176242
poly,H3-7,6,-0.5605507934749236,111930.20031355912,241.7562628337058,-204.50813799741343,36.46597841389019,3097.040910000347,71724.80433291178
poly,H3-8,6,0.1816238945988041,21051.832060544344,49.34854941113486,40.95981680813095,31.50215264187867,1234.0517410019688,25723.90850808629
poly,H3-6,2,-0.0269621363038667,57903.64701086557,112.40058521021416,108.3667447920936,38.62350634230039,186.26294563143176,56383.42930467352
poly,H3-7,2,0.0340219361204009,9861.4396235965,54.845724290952,53.34993493669726,15.639155672823218,496.6826750002277,10208.761453640676
poly,H3-8,2,-1.319470198790664,8573.808210200734,81.92978623088936,87.30851190655027,13.733742082365936,141.1216494332216,3696.4511183075288
poly,H3-6,1,-0.1528150824859035,20409.61396756497,89.33277387684717,90.19347330083392,22.1083381006865,230.14599909189232,17704.15245049896
rbf,H3-6,24,0.2758972513247586,5369763.3012253335,335.3926561397147,239.8595903447636,480.08351893095767,343620.5141720109,7415747.711287394
rbf,H3-7,24,0.5250047803251879,295730.54539235594,97.4548768258694,109.3774121066388,114.80381622823268,145637.3134860523,622596.8875956625
rbf,H3-8,24,0.5921875283044198,72603.15108920021,86.3081419017656,97.2344460060719,84.81907514450867,64562.711269999134,178030.7276708209
rbf,H3-6,6,0.62189799775328,101989.63384494314,83.58289346766165,53.54729587368364,83.46973929236499,114862.12077193844,269741.0572779581
rbf,H3-7,6,0.5723977956738804,33324.64108585759,74.80853626432686,79.86785929396136,38.30384795870484,32189.985904593224,77933.74484206791
rbf,H3-8,6,0.4614326826956206,13364.110170190066,66.62795889156706,47.96130610305222,31.23904109589041,14632.490235245235,24814.187086360347
rbf,H3-6,2,0.361141289685821,29953.597510913747,113.6384597989171,126.75371256332738,34.71922299160488,19556.72229815381,46886.1064697437
rbf,H3-7,2,-0.901641920291333,21950.211178717906,130.25662967600837,134.9310253560728,16.326543535620054,5885.6525116952,11542.767828422247
rbf,H3-8,2,-0.0655182822800632,4309.928093759432,45.25170192280401,40.39059594248842,14.184185019047405,2390.630915727202,4044.912382485616
rbf,H3-6,1,-0.5008193992352281,26584.966214612647,115.9123009065214,94.91605327985155,22.199728260869566,8511.102101089495,17713.634450727073
rbf,H3-7,1,-3.217318725625044,16941.296169677218,107.07245298701288,17.23702511793418,11.060173918962612,15517.59991374364,4017.077501574504
rbf,H3-8,1,-2.0657319325455914,3935.493759931386,55.09551441935406,59.63227119284226,9.172189218921892,1100.8292058927086,1283.7044616172948
linear,H3-6,24,0.123538433093627,26584.966214612647,115.9123009065214,123.14948090715126,346.3535634743876,119209.27682583006,4497258.777554116
linear,H3-7,24,0.0298500713827122,26584.966214612647,115.9123009065214,137.2248239307425,107.19321971100408,71014.38125029941,640687.6179088259
linear,H3-8,24,0.0657377515108023,26584.966214612647,115.9123009065214,95.9262397860398,91.85982658959536,9591.568222432425,220922.9479814728
linear,H3-6,6,0.0412124389286431,26584.966214612647,115.9123009065214,-59.74614894201285,96.3389199255121,12952.34762719718,387317.98041571735
linear,H3-7,6,0.0369249277820132,26584.966214612647,115.9123009065214,32.532995397421296,37.232754575316754,2803.378224689026,72446.48336636821
linear,H3-8,6,-0.0321566705435034,26584.966214612647,115.9123009065214,49.66890278101607,30.49373776908024,5587.6859604228175,21118.666007751195
linear,H3-6,2,0.0129815880077385,26584.966214612647,115.9123009065214,55.637037537368215,39.866719774495984,2795.549116668184,63760.496299743216
linear,H3-7,2,-0.4255060867497899,26584.966214612647,115.9123009065214,54.213790561746336,16.635039577836412,5763.181846719649,11701.792608639596
linear,H3-8,2,-0.6761208843476556,26584.966214612647,115.9123009065214,53.27636762755856,14.316705362576922,2744.7528565089333,4249.4901672487385
